the_geom,ID,CATEGORY,VENDORNAME,WEBSITE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,TELEPHONE,CONTACT,CONTACTEMA,TYPED,CAMERAICON,BOROUGH,BCODE,HOUSENUM,STREETNAME
POINT (-73.97442149392997 40.77923446251319),616,"Museums, Galleries & Tours",New York Historical Society,http://www.nyhistory.org,170 Central Park West,,New York,NY,10024,(212) 873-3400,Paul Brewer,pbrewer@nyhistory.org,,,Manhattan,1,170,CENTRAL PARK WEST
POINT (-73.98452079291131 40.74795717860281),617,"Museums, Galleries & Tours",On Location Tours,http://www.screentours.com,347 5th Avenue,Suite 602,New York,NY,10016,(212) 683-3516,Cathy Wilke,marketing@screentours.com,,,Manhattan,1,347,5 AVENUE
POINT (-73.9510873045756 40.7813623249514),618,"Museums, Galleries & Tours",PhotoTrek Tours,http://www.phototrektours.com,1619 3rd Avenue,Suite 11B,New York,NY,10128,(212) 410-2514,Marc Samuels,info@phototrektours.com,,,Manhattan,1,1619,3 AVENUE
POINT (-73.9508943766453 40.76877761838576),621,"Museums, Galleries & Tours","Signature Tours, Inc.",,520 East 76th Street,,New York,NY,10021,(212) 517-4306,Mary Beth Stone,signatour@aol.com,,,Manhattan,1,520,EAST 76 STREET
POINT (-73.95891101980986 40.78300947635219),622,"Museums, Galleries & Tours",Solomon R. Guggenheim Museum,http://www.guggenheim.org,1071 Fifth Avenue,,New York,NY,10128,(212) 423-3500,Ashley Prymas,APrymas@guggenheim.org,,yes,Manhattan,1,1071,FIFTH AVENUE
POINT (-73.98981413965902 40.755319179428504),623,"Museums, Galleries & Tours",Striking Viking Story Pirates,http://www.storypirates.com,250 West 40th Street,,New York,NY,10018,(310) 880-4725,Benjamin Salke,benjamin@storypirates.com,,,Manhattan,1,250,WEST 40 STREET
POINT (-74.00835661130596 40.703682242410444),624,"Museums, Galleries & Tours",The New York City Police Museum,http://www.nycpolicemuseum.org,100 Old Slip,,New York,NY,10005,(212) 480-3100,Nancy Tran,ntran@nycpolicemuseum.org,,yes,Manhattan,1,100,OLD SLIP
POINT (-73.97760161370441 40.760573638197314),625,"Museums, Galleries & Tours",The Paley Center for Media,http://www.paleycenter.org,25 West 52nd Street,,New York,NY,10019,(212) 621-6600,Amy Douthett,adouthett@mtr.org,,yes,Manhattan,1,25,WEST 52 STREET
POINT (-73.94536933475305 40.832186562248175),626,"Museums, Galleries & Tours","The West Harlem Art Fund, Inc.",http://www.myharlem.org,550 West 155th Street,,New York,NY,10032,(212) 694-8327,Savona Bailey-McClain,whaf155@verizon.net,,,Manhattan,1,550,WEST 155 STREET
POINT (-73.98450543517289 40.76120039652234),627,"Museums, Galleries & Tours",Walkin Broadway,http://www.walkinbroadway.com,1619 Broadway,,New York,NY,10019,(212) 997-5004,Laurie Brown,info@walkinbroadway.com,,,Manhattan,1,1619,BROADWAY
POINT (-73.97361316402211 40.75069445471614),628,"Museums, Galleries & Tours",We Ate New York,http://www.weatenewyork.com,209 East 42nd Street,,New York,NY,10017,(917) 608-4235,Tony Recek,sales@weatenewyork.com,,,Manhattan,1,209,EAST 42 STREET
POINT (-73.92379966560813 40.756444476178636),629,"Museums, Galleries & Tours",Museum of the Moving Image,http://www.movingimage.us,3601 35th Avenue,,Astoria,NY,11106,(718) 784-0077,Tomoko Kawamoto,tkawamoto@movingimage.us,,,Queens,4,Jan-36,35 AVENUE
POINT (-74.11563029155127 40.62525549311142),630,"Museums, Galleries & Tours",Staten Island Zoo,http://www.statenislandzoo.org,614 Broadway,,Staten Island,NY,10310,(718) 442-3101,Mary Kain,marykain@aol.com,,yes,Staten Island,5,614,BROADWAY
POINT (-73.93417163456564 40.71074521390561),631,"Music, Audio & Sound",DJ Pro Audio,http://www.djproaudio.com,195 Morgan Avenue,,Brooklyn,NY,11237,(877) 357-7677,Irina Garmash,irene@djproaudio.,,,Brooklyn,3,195,MORGAN AVENUE
POINT (-73.99687515960903 40.65833062232428),632,"Music, Audio & Sound","National Recording Supplies, Inc.",http://www.tapes.com,764 5th Avenue,,Brooklyn,NY,11232,(718) 369-8273,Ed Stern,estern@tapes.com,,yes,Brooklyn,3,764,5 AVENUE
POINT (-73.99249622360102 40.68889623737729),633,"Music, Audio & Sound",Rashid Music Sales Co. Inc.,http://www.rashid.com,155 Court Street,,Brooklyn,NY,11201,(718) 852-3295,Raymond Rashid,sales@rashid.com,,yes,Brooklyn,3,155,COURT STREET
POINT (-73.98707007340458 40.70410451284978),634,"Music, Audio & Sound",Triple Z Music,http://www.triplezmusic.com,20 Jay Street,Suite 306,Brooklyn,NY,11201,(718) 624-6300,Mary Ellen Bernard,tz@triplezmusic.com,,,Brooklyn,3,20,JAY STREET
POINT (-73.99120023354268 40.75985225796912),635,"Music, Audio & Sound","ACM Music, Inc.",http://www.acmrecords.com,630 9th Avenue,"C/O Abacus Studio, Suite 1104",New York,NY,10036,(201) 796-0848 or (201) 637-0977,Eve Adams,eve@acmrecords.com,,,Manhattan,1,630,9 AVENUE
POINT (-73.98945144084311 40.76640516613868),636,"Music, Audio & Sound",Avatar Studios,http://www.avatarstudios.com,441 West 53rd Street,,New York,NY,10019,(212) 765-7500,Kirk Imamura,kirk@avatarstudios.net,,yes,Manhattan,1,441,WEST 53 STREET
POINT (-73.9757648746416 40.75243832611679),637,"Music, Audio & Sound",HSR/NY,http://www.hsrny.com,420 Lexington Avenue,Suite 1934,New York,NY,10170,(212) 687-4180,Zoe Schwartz,zoes@hsrny.com,,yes,Manhattan,1,420,LEXINGTON AVENUE
POINT (-73.98978848757531 40.75784271270592),638,"Music, Audio & Sound","Trevi Music Productions, Inc",http://www.trevimusic.com,300 West 43rd Street,,New York,NY,10036,(212) 956-9390,Phil Fabrizio,trevi@optonline.net,,yes,Manhattan,1,300,WEST 43 STREET
POINT (-74.00651829464258 40.75156463292027),639,"Music, Audio & Sound",B-Train Sound,http://www.b-trainsound.com,601 West 26th Street,Suite 1341,New York,NY,10001,(516) 380-5947,Kevin OLeary,kevin@b-trainsound.com,,,Manhattan,1,601,WEST 26 STREET
POINT (-73.99349939158091 40.75525631805602),640,"Music, Audio & Sound","Gotham Sound and Communications, Inc.",http://www.gothamsound.com,330 West 38th Street,"Ground Floor, #105",New York,NY,10018,(212) 629-9430,Jared M. Silver,jareds@gothamsound.com,,,Manhattan,1,330,WEST 38 STREET
POINT (-73.99407233902338 40.75476435117997),641,"Music, Audio & Sound",Jim Flynn Rentals,http://www.jimflynnrentals.com,336 West 37th Street,Suite 540,New York,NY,10018,(212) 807-1800,,,,,Manhattan,1,336,WEST 37 STREET
POINT (-73.98745274657371 40.7213197011077),642,"Music, Audio & Sound",Ludlow Guitars,http://www.ludlowguitars.com,164 Ludlow Street,,New York,NY,10002,(212) 353-1775,Robert/Gary,ludlowguitars@gmail.com,,,Manhattan,1,164,LUDLOW STREET
POINT (-73.9920663599336 40.75595064790251),643,"Music, Audio & Sound",Skyview Sound,http://www.skyviewsound.com,315 West 39th Street,,New York,NY,10018,(212) 729-3333,Chris Guastelle,info@skyviewsound.com,,,Manhattan,1,315,WEST 39 STREET
POINT (-73.98022715956049 40.75629231773498),645,"Music, Audio & Sound",Sound Image NY,,16 West 46th Street,,New York,NY,10036,(212) 986-6445,Mark Barasch,ops@soundimageny.com,,yes,Manhattan,1,16,WEST 46 STREET
POINT (-73.98910554670132 40.74023123237726),646,"Music, Audio & Sound",Soundtrack/NY and Soundtrack Film/Television,http://www.soundtrackny.com,936 Broadway,,New York,NY,10010,(212) 402-1433,Syd Weiss,syd.weiss@soundtrackny.com,,yes,Manhattan,1,936,BROADWAY
POINT (-74.00335500955694 40.72004127858061),647,"Music, Audio & Sound",Uncle Steve Car Stereo & Pro Audio,,334 Canal Street,,New York,NY,10013,(212) 925-5185,Manny Beltron,unclestevecarstereo@yahoo.com,,yes,Manhattan,1,334,CANAL STREET
POINT (-73.85188481580016 40.91927601261506),648,"Music, Audio & Sound",Mixdown Recording Studio,http://www.mixdownstudio.com,168 Vernon Avenue,,Yonkers,NY,10704,(914) 237-5794 ext 213,Shawn Waugh,info@mixdownstudio.com,,yes,New York State,6,168,VERNON AVENUE
POINT (-74.16051802232039 40.57799099763292),650,"Music, Audio & Sound","Sounds Big Productions, Inc",http://www.soundsbigproductions.com,57 Canon Drive,,Staten Island,NY,10314,(212) 920-4639,Andrew Kay,andrew@soundsbigproductions.com,,yes,Staten Island,5,57,CANON DRIVE
POINT (-73.98298973246699 40.76531472991881),651,"Music, Audio & Sound","Btoven Music, LLC",http://www.btovenmusic.com/,245 West 55th Street,Suite 810,New York,NY,10019,(917) 749-0271,,,,,Manhattan,1,245,WEST 55 STREET
POINT (-73.94007460176604 40.72873759456338),652,Office Supplies & Services,"Long Island Carpet Cleaners, Inc.",http://www.licarpetcleaners.com,301 Norman Avenue,,Brooklyn,NY,11222,(718) 383-7000,Barry Swidler,bswidler@licarpetcleaners.com,,yes,Brooklyn,3,301,NORMAN AVENUE
POINT (-73.97609790656286 40.63554373007242),653,Office Supplies & Services,Toner Quest,http://www.tonerquest.com,666 East 3rd Street,Suite A,Brooklyn,NY,11218,(718) 854-1663,Sandra Fried,sandra@tonerquest.com,,,Brooklyn,3,666,EAST 3 STREET
POINT (-73.99773657845823 40.657850306051515),654,Office Supplies & Services,Yale Picture Frame and Moulding U.S.A. Corp.,http://www.yalepf.com,770 5th Avenue,,Brooklyn,NY,11232,(718) 788-6200,Jeff Minsky,jeff@yalepf.com,,,Brooklyn,3,770,5 AVENUE
POINT (-73.9920708525198 40.75450768521418),655,Office Supplies & Services,1-800 We Answer,http://www.weanswer.com,545 8th Avenue,,New York,NY,10018,(800) 932-6793,William Fisher,bill@weanswer.com,,,Manhattan,1,545,8 AVENUE
POINT (-73.9802730387314 40.75176009952057),656,Office Supplies & Services,ABC Office Essentials,http://www.abc-office-essentials.com,284 Madison Avenue,,New York,NY,10017,(212) 532-7771,Jeffrey Marks,jmarks@abc-office-essentials.com,,,Manhattan,1,284,MADISON AVENUE
POINT (-73.9825129663746 40.76625885064118),657,Office Supplies & Services,Accurate Printing and Graphics,http://www.accuprinting.com,250 West 57th Street,Suite 1230,New York,NY,10107,(212) 265-4304,Lani Doktori,lani@accuprinting.com,,,Manhattan,1,250,WEST 57 STREET
POINT (-73.98032004027594 40.751692548563824),658,Office Supplies & Services,Airline Stationery Company Inc.,http://www.airlineinc.com,284 Madison Avenue,,New York,NY,10017,(212) 532-7771,Jeffrey Marks,jmarks@airlineinc.com,,,Manhattan,1,284,MADISON AVENUE
POINT (-73.97979768580288 40.756108345415655),659,Office Supplies & Services,Arthur Brown & Bro Inc.,http://www.artbrown.com,2 West 46th Street,,New York,NY,10036,(212) 575-5555,Warren Brown,penshop@artbrown.com,,yes,Manhattan,1,2,WEST 46 STREET
POINT (-73.95643509706078 40.753598671063294),660,Office Supplies & Services,Best Home Services Ltd,http://www.thebesthomeservices.com,531 Main Street,Suite 1619,New York,NY,10044,(212) 688-6712,Mary E. Cavanaugh,besthomesvcs@aol.com,,,Manhattan,1,531,MAIN STREET
POINT (-73.99173023125608 40.75249395203436),661,Office Supplies & Services,MPH Courier Service,http://www.mphny.com,247 West 35th Street,,New York,NY,10001,(212) 239-1818,Garfield Grey,ggrey@mphny.com,,yes,Manhattan,1,247,WEST 35 STREET
POINT (-73.9973080509913 40.72427101285277),662,Software & Internet Services,"Bway.net, Inc.",http://www.bwaynet.inc,568 Broadway,Suite 404,New York,NY,10012,(212) 982-9800,Kate Lynch,info@bway.net,,,Manhattan,1,568,BROADWAY
POINT (-74.00924800169062 40.73363024521137),663,Office Supplies & Services,Digital Plus,http://www.digitalplus.com,160 Charles Street,Ground Fl.,New York,NY,10014,(212) 533-7224,Natasha Adams,natasha@digitalplus.com,,,Manhattan,1,160,CHARLES STREET
POINT (-73.98948737984107 40.744551505021356),664,Office Supplies & Services,"Elite Couriers, Inc.",http://www.newyorksbestkeptsecret.com,18 West 27th Street,,New York,NY,10001,(212) 696-4000,Sunny Rosenblum,elitecouriers@aol.com,,yes,Manhattan,1,18,WEST 27 STREET
POINT (-73.98779839386222 40.744759939833585),666,Office Supplies & Services,ID Cleaners & Carpeting Inc.,http://www.idcleaners.com,246 Fifth Avenue,Suite 304,New York,NY,10001,(212) 843-9464,Ms. Olee,olee@idcleaners.com,,yes,Manhattan,1,246,FIFTH AVENUE
POINT (-73.99032133653886 40.7606039831496),1008,Food & Restaurants,Village Pourhouse,http://www.villagepourhouse.com,366 West 46th Street,,New York,NY,10036,(212) 979-2337,Adam Solloway,adam@yourpartyplanning.com,,yes,Manhattan,1,366,WEST 46 STREET
POINT (-73.99095927299142 40.748410747405636),667,Office Supplies & Services,Jason Office Products Inc.,http://www.jasonoffice.com,140 West 31st Street,,New York,NY,10001,(212) 279-7455,Harriet Novatt,hnovatt@jasonoffice.com,,yes,Manhattan,1,140,WEST 31 STREET
POINT (-73.99290396379114 40.75403212633963),668,Office Supplies & Services,Lightspeed Express Delivery Systems,http://www.lightspeed.biz,307 West 36th Street,,New York,NY,10018,(212) 594-3001,Jeffrey Zimmerman,jz@lightspeed.biz / jznyc714@aol.com,,,Manhattan,1,307,WEST 36 STREET
POINT (-73.9689887643267 40.7606347711375),669,Office Supplies & Services,McMaid Inc.,http://www.mcmaid.com,136 East 57th Street,#1602,New York,NY,10022,(212) 371-5555,Chris McLoughlin,mcmaidny@earthlink.net,,,Manhattan,1,136,EAST 57 STREET
POINT (-73.97368894794052 40.61364526407273),670,Office Supplies & Services,Poster Printers,http://www.theposterprinters.com,1607 McDonald Avenue,,Brooklyn,NY,11230,(718) 375-3113,Elliot,posterprinters@aol.com,,,Brooklyn,1,1607,MCDONALD AVENUE
POINT (-74.00747507725879 40.72237412999901),671,Office Supplies & Services,PYCECO Distributor Corportaion,,17 Vestry Street,,New York,NY,10013,(212) 966-7780,Paula Chin,pyceco@att.net,,,Manhattan,1,17,VESTRY STREET
POINT (-73.98241967245772 40.7504326395541),672,Office Supplies & Services,Spark Direct/Kwik Kopy Printing,http://www.discnyc.com,7 East 37 Street,,New York,NY,10016,(212) 328-2001,Yaakov Reshef,yaakov@discnyc.com,,yes,Manhattan,1,7,EAST 37 STREET
POINT (-73.95864351391114 40.77185751416531),673,Office Supplies & Services,Specialty Answering Service,http://www.specialtyansweringservice.net/,1317 Third Avenue,c/o Messages Plus,New York,NY,10021,(888) 532-4794,Todd Cardin,info@specialtyansweringservice.net,,,Manhattan,1,1317,THIRD AVENUE
POINT (-74.01397570910098 40.70337428363511),674,Office Supplies & Services,United Office Solutions,http://www.unitedofficesolutions.com,1 Battery Park Plaza,,New York,NY,10004,"(212) 725-0700, ext. 223",Gary Allen,garya@unitedofficesolutions.com,,yes,Manhattan,1,1,BATTERY PARK PLAZA
POINT (-73.99093542554083 40.74317310491302),675,Office Supplies & Services,"Walkieboy, Inc.",http://www.walkieboy.com,27 West 24th Street,Suite 703,New York,NY,10010,(212) 691-2662,Andrew Wheeler,nywalkieboy@hotmail.com,,,Manhattan,1,27,WEST 24 STREET
POINT (-73.98114354215203 40.7563499535604),676,Office Supplies & Services,Influence Graphics,http://www.influencegraphics.com,45 West 45th Street,8th Floor,New York,NY,10036,(212) 354-6123,Ron Sizemore,sales@influencegraphics.com,,,Manhattan,1,45,WEST 45 STREET
POINT (-74.07116608198913 40.838476658712025),677,Office Supplies & Services,Kitstrucks,http://www.kitstrucks.com,155 Anderson Ave,,Moonachie,NJ,7074,(201) 531-9700,Steve Fox,fox@kitstrucks.com,,,New Jersey,0,155,ANDERSON AVE
POINT (-73.70760615772382 40.667154089554955),678,Office Supplies & Services,Metro Weather Service,http://www.metroweather.com,71 South Central Avenue,Suite 102,Valley Stream,NY,11580,(800) 488-7866,Brett Zweiback,metrowx@aol.com,,,New York State,6,71,SOUTH CENTRAL AVENUE
POINT (-73.88622401935099 40.76104936782591),679,Office Supplies & Services,Flat Rate Carpet & Upholstery,http://www.flatratecarpet.com,8202 30 Avenue,,East Elmhurst,NY,11370,(718) 569-2803,Yoau Nigreken,flatratecarpet@gmail.com,,yes,Queens,4,8202,30 AVENUE
POINT (-73.83210661402816 40.76242145836854),681,Office Supplies & Services,Pecks Office Plus,http://www.pecksofficeplus.com,36-18 Main Street,,Flushing,NY,11354,(718) 353-3896,Robert Peck,robpeck@pecksofficeplus.com,,,Queens,4,36-18,MAIN STREET
POINT (-73.833861894657 40.68391281212588),682,Office Supplies & Services,Innovation Printing and Promotions Inc.,http://www.go2innovation.com,107-27 Liberty Avenue,,Ozone Park,NY,11417,(718) 641-2222,Stephen or Enzo,art@go2innovation.com,,,Queens,4,107-27,LIBERTY AVENUE
POINT (-73.42592117648141 40.87921568118582),683,Office Supplies & Services,Speedy Scan Organizer Inc,http://speedyscan.biz,223 Wall Street,,Huntington Station,NY,11743,(800) 655-2870,Todd McIndoo,tmcindoo@speedyscan.biz,,yes,Long Island,6,223,WALL STREET
POINT (-73.94597626991607 40.8190231908477),684,Payrolling & Personnel,"All Things Traffic, Inc.",http://www.allthingstraffic.com,323 West 138th Street,,New York,NY,10030,(212) 234-7171,Farrah Rios,farrahloverios@gmail.com,,,Manhattan,1,323,WEST 138 STREET
POINT (-73.97867976893133 40.752905025531575),685,Payrolling & Personnel,Headway Corporate Resources,http://www.headwaycorp.com,317 Madison Avenue,,New York,NY,10017,(212) 672-6500,Joseph Sangillo,Jsangillo@headwaycorp.com,,,Manhattan,1,317,MADISON AVENUE
POINT (-73.97585735952627 40.752695867437325),686,Payrolling & Personnel,TemPositions Group of Companies,http://www.tempositions.com,420 Lexington Avenue,Suite 2100,New York,NY,10170,(212) 490-7400,Loretta Andrews,landrews@tempositions.com,,,Manhattan,1,420,LEXINGTON AVENUE
POINT (-73.70704729142709 40.841999379267534),687,Payrolling & Personnel,Reel Numbers,http://www.reelnumbers.com,130 Shore Road,#300,Port Washington,NY,11050,(212) 696-8670,Tom Hugues/Caren Franklin,info@reelnumbers.com,,,New York State,6,130,SHORE ROAD
POINT (-73.74387832414348 40.6929866461355),688,Payrolling & Personnel,PA Source,http://www.pasource.net,118-48 218th Street,,Cambria Heights,NY,11411,(646) 495-1626,Tareek Jones,jonestareek@gmail.com,,,Queens,4,118-48,218 STREET
POINT (-73.83148982336078 40.715142118100474),689,Payrolling & Personnel,"Allied Personnel Services, Inc.",http://www.aliedpersonnel.com,118-21 Queens Blvd,Ste. 310,Forest Hills,NY,11375,(718) 261-7979,Ms. Amparo M. Connors,amparo@alliedpersonnel.com,,,Queens,4,118-21,QUEENS BOULEVARD
POINT (-73.98447861856283 40.758576597194796),690,Post Production & Training,1560 Broadway (formerly known as Teatown Communications Group),http://www.teatown.tv,1560 Broadway,,New York,NY,10036,(212) 302-0722,Dean Dilvers,dsilvers22@aol.com,,yes,Manhattan,1,1560,BROADWAY
POINT (-73.97665342302457 40.75723858637651),692,Post Production & Training,"Analog Digital International, Inc.",http://www.analogdigitalinc.com,20 East 49 Street,,New York,NY,10017,(212) 688-5110,Ayres DCunha,ayres@analogdigitalinc.com,,,Manhattan,1,20,EAST 49 STREET
POINT (-73.99031103153415 40.74530403875997),693,Post Production & Training,Chromavision,http://www.chromavision.net,49 West 27th Street,8th Floor,New York,NY,10001,(212) 686-7366,Yossi Rosenberg / Levon Manoukian,yrosenberg@chromavision.net / lm87000@gmail.com,,yes,Manhattan,1,49,WEST 27 STREET
POINT (-73.98459198699193 40.76102424986777),694,Post Production & Training,Broadway Video,http://www.broadwayvideo.com,1619 Broadway,10th Floor,New York,NY,10019,(212) 333-0746,Mort Roghanchi,mroghanchi@broadwayvideo.com,,,Manhattan,1,1619,BROADWAY
POINT (-73.98021657646007 40.75546889196558),695,Post Production & Training,Buttons Sound Inc.,http://www.buttonsny.com,2 West 45th Street,Suite 603,New York,NY,10036,(212) 764-8650,Rich Macar,rich.macar@buttonsny.com,,,Manhattan,1,2,WEST 45 STREET
POINT (-73.98809088915785 40.73437530437714),1009,Food & Restaurants,Vintage Irving,http://www.vintageirving.com,120 East 15th Street,,New York,NY,10003,(212) 677-6300,Adam Solloway,adam@yourpartyplanning.com,,yes,Manhattan,1,120,EAST 15 STREET
POINT (-73.9886826356968 40.73462890153531),1010,Food & Restaurants,SideBAR,http://www.sidebarny.com,118 East 15th Street,,New York,NY,10003,(212) 677-2900,Adam Solloway,adam@yourpartyplanning.com,,yes,Manhattan,1,118,EAST 15 STREET
POINT (-73.98168658215528 40.75114316131772),696,Post Production & Training,City Lights Media Group,http://www.citylightsmedia.com,6 East 39th Street,,New YOrk,NY,10026,(212) 679-4400,Tirtzah Wilson,tirtzah@citylightsmedia.com,,,Manhattan,1,6,EAST 39 STREET
POINT (-73.98464768011269 40.761140209946795),697,Post Production & Training,Creative Mega Playground,http://www.mega-playground.com,1619 Broadway,5th Floor,New York,NY,10019,(212) 399-0409,Eitan Hakami,eitan@mega-playground.com,,,Manhattan,1,1619,BROADWAY
POINT (-73.99159514859122 40.74302285299618),1,Accounting Services,"Marks Bookkeeping Services, LLC",http://www.marksbookkeeping.com,40 West 24th Street,Suite # 3F (Bell 1111),New York,NY,10010,(212) 243-5757,Mark Gilbert,info@marksbookkeeping.com,,yes,Manhattan,1,40,WEST 24 STREET
POINT (-73.60281624961374 40.63708078410614),2,Animals & Handlers,"Original Party Pets, Inc.",http://www.partypets.com,1039 Hastings Street,,Baldwin,NY,11510,(516) 766-1100,Andre Ricaud,andrespartypets@msn.com,,,New York State,6,1039,HASTINGS STREET
POINT (-73.9606118160288 40.80125429458013),3,Animals & Handlers,NYC Doggy Den LLC,http://www.nycdoggyden.com,354 West 110 Street,,New York,NY,10025,(212) 865-9657,Max Moyet,nycdoggyden@yahoo.com,,,Manhattan,1,354,WEST 110 STREET
POINT (-73.9824950344758 40.75207401055654),4,Banking Services,"HSBC Bank NA, USA",http://www.us.hsbc.com/business/film.html,452 5th Avenue,,New York,NY,10018,(212) 525-6528,,,,,Manhattan,1,452,5 AVENUE
POINT (-73.96915760856491 40.76239145236213),5,Books & Magazines,Argosy Book Store,http://www.argosybooks.com,116 East 59th Street,,New York,NY,10019,(212) 753-4455,Ben Lowry,ben@argosybooks.com,,,Manhattan,1,116,EAST 59 STREET
POINT (-73.99173523126166 40.7308668301413),6,Books & Magazines,Back Stage Magazine,http://www.backstage.com,770 Broadway,,New York,NY,10003,(646) 654-5872,Kerrie Meyerer,kerrie.meyerer@nielson.com,,,Manhattan,1,770,BROADWAY
POINT (-74.00710063366857 40.710047438339615),7,Books & Magazines,MovieMaker Magazine,http://www.moviemaker.com,121 Fulton Street,5th Floor,New York,NY,10038,(212) 766-4100,Jennifer Wood,jwood@moviemaker.com,,,Manhattan,1,121,FULTON STREET
POINT (-73.98558672964865 40.742097276312414),8,Books & Magazines,New York 411,http://www.newyork411.com,360 Park Avenue South,14th Floor,New York,NY,10010,(646) 746-6891,Jeffrey Gitter,Jeffry.Gitter@reedbusiness.com,,,Manhattan,1,360,PARK AVENUE SOUTH
POINT (-73.98162707402452 40.74527787813579),9,Books & Magazines,New York Production Guide Ltd. (NYPG),http://www.nypg.com,114 East 32nd Street,,New York,NY,10016,(212) 243-0404,Richard Babchak,rbabchak@nypg.com,,,Manhattan,1,114,EAST 32 STREET
POINT (-73.92921139349681 40.707884971299464),10,"Camera, Grip & Lighting",Act Zero Films,http://www.actzerofilms.com,119 Ingraham Street,Suite 103,Brooklyn,NY,11237,(718) 366-7770,Krista,actzerofilms@gmail.com,,,Brooklyn,3,119,INGRAHAM STREET
POINT (-73.95449697248729 40.71646689128431),11,"Camera, Grip & Lighting","H & R Productions, Inc.",http://www.hitandrunproductions.com,65 Roebling Street,,Brooklyn,NY,11211,(718) 809-9057,Ari Taub,stotlebotl@aol.com,,,Brooklyn,3,65,ROEBLING STREET
POINT (-73.96157363783557 40.73061595396873),12,"Camera, Grip & Lighting",GLOW Design Group,http://www.glowdesigngroup.com,10 Java Street,,Brooklyn,NY,11222,(646) 201-9557,Craig Robillard,craig@glowdesigngroup.com,,,Brooklyn,3,10,JAVA STREET
POINT (-74.00801407838146 40.73015513406287),13,"Camera, Grip & Lighting",Able Cine Tech,http://www.ablecine.com,609 Greenwich Street,,New York,NY,10014,(212) 462-0100,Maia Kaufman 212-462-0162,,,,Manhattan,1,609,GREENWICH STREET
POINT (-73.98905056546171 40.76737402142049),14,"Camera, Grip & Lighting",Barbizon Lighting,http://shop.barbizon.com/,456 West 55th Street,,New York,NY,10019,(212) 586-1620,Adrienne Patsos,apatsos@barbizon.com,,,Manhattan,1,456,WEST 55 STREET
POINT (-73.99196698166149 40.74196340519991),15,"Camera, Grip & Lighting",Foto Care Ltd.,http://www.fotocare.com,41 West 22nd Street,,New York,NY,10010,(212) 741-2990,John Wiley,jwiley@fotocare.com,,yes,Manhattan,1,41,WEST 22 STREET
POINT (-73.99430443461553 40.75366166303696),16,"Camera, Grip & Lighting",Technisphere Corporation,http://www.technisphere.com,335 West 35th Street,,New York,NY,10001,(212) 777-5100,John Marino,jmarino@technisphere.com,,,Manhattan,1,335,WEST 35 STREET
POINT (-73.98687063326045 40.76449456003389),17,"Camera, Grip & Lighting","Broadcast Video Rentals, Ltd. (BVR)",http://www.bvr.com,355 West 52nd Street,(Store Front),New York,NY,10019,(917) 642-2051,Bob Zahn,bz4fam@aol.com,,yes,Manhattan,1,355,WEST 52 STREET
POINT (-73.98648170715681 40.75730657534332),18,"Camera, Grip & Lighting",Broadway Teleprompter Services,,1501 Broadway,,New York,NY,10036,(212) 944-9090,Seanna OHaran,seanna.o@langsynefilms.com,,,Manhattan,1,1501,BROADWAY
POINT (-73.97940150259082 40.75332510320333),19,"Camera, Grip & Lighting",DOI Camera,http://www.doicamera.com,15 East 42nd St.,,New York,NY,10017,(212) 661-0876,Ken Ishiyama,doicamera@gmail.com,,yes,Manhattan,1,15,EAST 42 STREET
POINT (-73.99003114718639 40.75501459297603),20,"Camera, Grip & Lighting",dv Depot,http://www.dvdepot.com,251 West 39th Street,7th Floor,New York,NY,10018,(212) 333-5100,Deborah Wolpert,deb@dvdepot.com,,yes,Manhattan,1,251,WEST 39 STREET
POINT (-73.99909762925097 40.75599757865843),21,"Camera, Grip & Lighting","Feature Systems, Inc.",http://www.featuresystems.com,512 West 36th Street,,New York,NY,10018,(212) 736-0447,Jay Karasick,jay@featuresystems.com,,,Manhattan,1,512,WEST 36 STREET
POINT (-73.99391020152052 40.754705477541734),22,"Camera, Grip & Lighting",HotCam,http://www.hotcam.tv,336 West 37th Street,Suite 540,New York,NY,10018,(212) 633-1888,,,,,Manhattan,1,336,WEST 37 STREET
POINT (-73.98967242714095 40.73813154874504),23,"Camera, Grip & Lighting",Judis Lamps & Shades,http://www.judislampshades.com,888 Broadway,,New York,NY,10003,(212) 777-2924,Judi,judi@judislampshades.com,,,Manhattan,1,888,BROADWAY
POINT (-73.96538573702787 40.76161910808768),24,"Camera, Grip & Lighting",Just Bulbs- The Light Bulb Store,,220 East 60th Street,,New York,NY,10022,(212) 888-5707,David Brooks,david@superiorlf.com,,yes,Manhattan,1,220,EAST 60 STREET
POINT (-73.99014807895614 40.75507003805493),25,"Camera, Grip & Lighting","Keep In Touch Communications, Inc.",,251 West 39th Street,,New York,NY,10018,(212) 921-1911,Barbara Kreiss,barb@kitwalkies.com,,,Manhattan,1,251,WEST 39 STREET
POINT (-73.9974372937126 40.755303132851),26,"Camera, Grip & Lighting",KTV - Keslow Television,http://www.keslow.com,444 West 36th Street,,New York,NY,10018,(212) 239-1500,"Marc Keslow, Jim Palmer",marc@keslow.com; jim@keslow.com,,,Manhattan,1,444,WEST 36 STREET
